,Scenario 1,Scenario 2,Scenario 3
"(7, 1, 7)",2.484013930275152,3.221262334509926,0.8418480377047594
"(7, 1, 9)",2.1667979097097136,3.22136403180526,0.40607986077898245
"(8, 1, 7)",2.7620349623847247,3.2462961819994383,0.42354241294006956
"(8, 1, 9)",2.4099493683976387,3.2260040506082674,0.5488371524883541
"(9, 1, 7)",2.2359273625448313,3.2242698050615006,0.33210202253199306
"(9, 1, 9)",2.424587439740523,3.1849662169212962,0.5198132815454934
